COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,tiene_paramo,nombre_paramo,tiene_bosque_seco,nombre_bosque_seco,tiene_humedal,nombre_humedal,tiene_reaa,nombre_reaa,tiene_ley2,nombre_ley2
5761,SOPETRÁN,ANTIOQUIA,6.520164552,-75.74580903,0,,0,,1,Magdalena Cauca,0,,0,
5789,TÁMESIS,ANTIOQUIA,5.673758571,-75.70979974,0,,0,,1,Magdalena Cauca,0,,0,
5790,TARAZÁ,ANTIOQUIA,7.488875998,-75.40189438,0,,0,,1,Magdalena Cauca,1,PDET,0,
5792,TARSO,ANTIOQUIA,5.871064557,-75.82871144,0,,0,,1,Magdalena Cauca,0,,0,
5809,TITIRIBÍ,ANTIOQUIA,6.058349971,-75.79966005,0,,0,,1,Magdalena Cauca,1,Omec,0,
5819,TOLEDO,ANTIOQUIA,7.016397069,-75.71363382,0,,0,,1,Magdalena Cauca,0,,0,
5837,TURBO,ANTIOQUIA,8.173851745,-76.5740377,0,,0,,1,Caribe,1,PDET,0,
5842,URAMITA,ANTIOQUIA,6.913916924,-76.13318514,0,,0,,1,Caribe,0,,0,
5847,URRAO,ANTIOQUIA,6.33534134,-76.25906482,0,,0,,1,Caribe,1,Zonificacion_Ley2da,1,Pacífico
5854,VALDIVIA,ANTIOQUIA,7.265404213,-75.40094502,0,,0,,1,Magdalena Cauca,1,PDET,0,
5856,VALPARAÍSO,ANTIOQUIA,5.651937802,-75.63083412,0,,0,,1,Magdalena Cauca,0,,0,
5858,VEGACHÍ,ANTIOQUIA,6.836535122,-74.7540302,0,,0,,1,Magdalena Cauca,0,,0,
5861,VENECIA,ANTIOQUIA,5.956576355,-75.77722423,0,,0,,1,Magdalena Cauca,1,Omec,0,
5873,VIGÍA DEL FUERTE,ANTIOQUIA,6.453351334,-76.69504802,0,,0,,1,Caribe,1,"PDET,Zonificacion_Ley2da,Humedales V3",1,Pacífico
5885,YALÍ,ANTIOQUIA,6.716870679,-74.75565002,0,,0,,1,Magdalena Cauca,0,,0,
5887,YARUMAL,ANTIOQUIA,6.9881309,-75.45439957,0,,0,,0,,0,,0,
5890,YOLOMBÓ,ANTIOQUIA,6.64442786,-75.02990266,0,,0,,1,Magdalena Cauca,0,,0,
5893,YONDÓ,ANTIOQUIA,6.925159318,-74.15824041,0,,0,,1,Magdalena Cauca,1,PDET,0,
5895,ZARAGOZA,ANTIOQUIA,7.474004006,-74.85848326,0,,0,,1,Magdalena Cauca,1,"PDET,Zonificacion_Ley2da",1,Río Magdalena
8001,BARRANQUILLA,ATLÁNTICO,10.98152051,-74.82771544,0,,0,,1,Magdalena Cauca,0,,0,
8078,BARANOA,ATLÁNTICO,10.79329302,-74.92219491,0,,0,,1,Magdalena Cauca,0,,0,
8137,CAMPO DE LA CRUZ,ATLÁNTICO,10.38405079,-74.88466039,0,,0,,1,Magdalena Cauca,0,,0,
8141,CANDELARIA,ATLÁNTICO,10.48902047,-74.87756627,0,,0,,1,Magdalena Cauca,0,,0,
8296,GALAPA,ATLÁNTICO,10.89771991,-74.88708788,0,,0,,1,Magdalena Cauca,0,,0,
8372,JUAN DE ACOSTA,ATLÁNTICO,10.82306503,-75.07841904,0,,0,,1,Caribe,0,,0,
8421,LURUACO,ATLÁNTICO,10.63503116,-75.15402741,0,,0,,1,Caribe,0,,0,
8433,MALAMBO,ATLÁNTICO,10.84828864,-74.80617555,0,,0,,1,Magdalena Cauca,0,,0,
8436,MANATÍ,ATLÁNTICO,10.45414555,-74.98477367,0,,0,,1,Magdalena Cauca,0,,0,
8520,PALMAR DE VARELA,ATLÁNTICO,10.69481208,-74.7701509,0,,0,,1,Magdalena Cauca,0,,0,
8549,PIOJÓ,ATLÁNTICO,10.74078959,-75.14366034,0,,0,,1,Caribe,0,,0,
8558,POLONUEVO,ATLÁNTICO,10.76740141,-74.85414844,0,,0,,1,Magdalena Cauca,0,,0,
8560,PONEDERA,ATLÁNTICO,10.59465102,-74.79847316,0,,0,,1,Magdalena Cauca,0,,0,
8573,PUERTO COLOMBIA,ATLÁNTICO,11.0044226,-74.9074058,0,,0,,1,Caribe,0,,0,
8606,REPELÓN,ATLÁNTICO,10.50757051,-75.12188053,0,,0,,1,Magdalena Cauca,0,,0,
8634,SABANAGRANDE,ATLÁNTICO,10.79894015,-74.7687966,0,,0,,1,Magdalena Cauca,0,,0,
8638,SABANALARGA,ATLÁNTICO,10.62250777,-74.95510542,0,,0,,1,Magdalena Cauca,0,,0,
8675,SANTA LUCÍA,ATLÁNTICO,10.35364192,-74.96541179,0,,0,,1,Magdalena Cauca,0,,0,
8685,SANTO TOMÁS,ATLÁNTICO,10.75562656,-74.78726468,0,,0,,1,Magdalena Cauca,0,,0,
8758,SOLEDAD,ATLÁNTICO,10.9069066,-74.7784249,0,,0,,1,Magdalena Cauca,0,,0,
8770,SUAN,ATLÁNTICO,10.31085035,-74.90713308,0,,0,,1,Magdalena Cauca,0,,0,
8832,TUBARÁ,ATLÁNTICO,10.90721938,-74.98423293,0,,0,,1,Caribe,0,,0,
8849,USIACURÍ,ATLÁNTICO,10.74052266,-74.98267413,0,,0,,1,Magdalena Cauca,0,,0,
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4.316107698,-74.1810727,1,Cruz Verde - Sumapaz,0,,1,Orinoco,1,"Omec,Paramos Delimitados",0,
13001,CARTAGENA DE INDIAS,BOLÍVAR,10.46343362,-75.45889915,0,,0,,1,Caribe,0,,0,
13006,ACHÍ,BOLÍVAR,8.622943262,-74.47805945,0,,0,,1,Magdalena Cauca,1,Zonificacion_Ley2da,1,Río Magdalena
13030,ALTOS DEL ROSARIO,BOLÍVAR,8.757468863,-74.19515811,0,,0,,1,Magdalena Cauca,1,Zonificacion_Ley2da,1,Río Magdalena
13042,ARENAL,BOLÍVAR,8.362996158,-74.10301905,0,,0,,1,Magdalena Cauca,1,PDET,0,
13052,ARJONA,BOLÍVAR,10.16422123,-75.37121788,0,,0,,1,Magdalena Cauca,0,,0,
13062,ARROYOHONDO,BOLÍVAR,10.24171805,-75.02690422,0,,0,,1,Magdalena Cauca,0,,0,
13074,BARRANCO DE LOBA,BOLÍVAR,8.837077654,-74.27966531,0,,0,,1,Magdalena Cauca,1,Omec,0,
13140,CALAMAR,BOLÍVAR,10.15517098,-74.99995949,0,,0,,1,Magdalena Cauca,0,,0,
13160,CANTAGALLO,BOLÍVAR,7.239229146,-74.10014043,0,,0,,1,Magdalena Cauca,1,"PDET,Zonificacion_Ley2da",1,Río Magdalena
13188,CICUCO,BOLÍVAR,9.235268598,-74.68840962,0,,0,,1,Magdalena Cauca,1,"Omec,Humedales V3",0,
13212,CÓRDOBA,BOLÍVAR,9.540047515,-74.89445635,0,,0,,1,Magdalena Cauca,1,PDET,0,
13222,CLEMENCIA,BOLÍVAR,10.55663696,-75.31446653,0,,0,,1,Caribe,0,,0,
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,9.699819876,-75.15793573,0,,0,,1,Magdalena Cauca,1,PDET,0,
13248,EL GUAMO,BOLÍVAR,10.03483672,-74.92811072,0,,0,,1,Magdalena Cauca,1,PDET,0,
13268,EL PEÑÓN,BOLÍVAR,8.864818786,-73.91230147,0,,0,,1,Magdalena Cauca,1,"Omec,Humedales V3",0,
13300,HATILLO DE LOBA,BOLÍVAR,8.981717133,-74.09071902,0,,0,,1,Magdalena Cauca,1,Omec,0,
13430,MAGANGUÉ,BOLÍVAR,9.053135895,-74.70539318,0,,0,,1,Magdalena Cauca,1,"Omec,Humedales V3",0,
13433,MAHATES,BOLÍVAR,10.17821391,-75.17978161,0,,0,,1,Magdalena Cauca,0,,0,
13440,MARGARITA,BOLÍVAR,9.054601889,-74.22584706,0,,0,,1,Magdalena Cauca,1,Omec,0,
13442,MARÍA LA BAJA,BOLÍVAR,9.976017168,-75.34380265,0,,0,,1,Magdalena Cauca,1,PDET,0,
13458,MONTECRISTO,BOLÍVAR,8.01710024,-74.46342911,0,,0,,1,Magdalena Cauca,1,Zonificacion_Ley2da,1,Río Magdalena
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,9.142512064,-74.54519906,0,,0,,1,Magdalena Cauca,1,"Omec,Humedales V3",0,
13473,MORALES,BOLÍVAR,8.253700061,-73.9713459,0,,0,,1,Magdalena Cauca,1,"Bosques de Paz,PDET",0,
13490,NOROSÍ,BOLÍVAR,8.50613476,-74.11588912,0,,0,,1,Magdalena Cauca,1,Zonificacion_Ley2da,1,Río Magdalena
13549,PINILLOS,BOLÍVAR,8.886315511,-74.40888476,0,,0,,1,Magdalena Cauca,1,Zonificacion_Ley2da,1,Río Magdalena
13580,REGIDOR,BOLÍVAR,8.672628558,-73.91450679,0,,0,,1,Magdalena Cauca,1,"Omec,Humedales V3",0,
13600,RÍO VIEJO,BOLÍVAR,8.559982465,-73.90298668,0,,0,,1,Magdalena Cauca,0,,0,
13620,SAN CRISTÓBAL,BOLÍVAR,10.36972087,-75.07333835,0,,0,,1,Magdalena Cauca,0,,0,
13647,SAN ESTANISLAO,BOLÍVAR,10.36468192,-75.20523487,0,,0,,1,Magdalena Cauca,0,,0,
13650,SAN FERNANDO,BOLÍVAR,9.081483143,-74.37186647,0,,0,,1,Magdalena Cauca,1,"Omec,Humedales V3",0,
13654,SAN JACINTO,BOLÍVAR,9.835362011,-75.10609201,0,,0,,1,Magdalena Cauca,1,PDET,0,
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,8.212463202,-74.75082,0,,0,,1,Magdalena Cauca,1,"Omec,Humedales V3",0,
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,9.967957823,-75.06571959,0,,0,,1,Magdalena Cauca,1,PDET,0,
13667,SAN MARTÍN DE LOBA,BOLÍVAR,8.816088444,-74.00599967,0,,0,,1,Magdalena Cauca,1,Omec,0,
13670,SAN PABLO,BOLÍVAR,7.507922612,-74.10356977000001,0,,0,,0,,1,"PDET,Zonificacion_Ley2da",1,Río Magdalena
13673,SANTA CATALINA,BOLÍVAR,10.64981278,-75.26548463,0,,0,,1,Caribe,0,,0,
13683,SANTA ROSA,BOLÍVAR,10.46920726,-75.36116053,0,,0,,1,Caribe,0,,0,
13688,SANTA ROSA DEL SUR,BOLÍVAR,7.772519173,-74.26272843,0,,0,,1,Magdalena Cauca,1,"PDET,Zonificacion_Ley2da",1,Río Magdalena
13744,SIMITÍ,BOLÍVAR,7.851315534,-73.98371609,0,,0,,1,Magdalena Cauca,1,PDET,0,
13760,SOPLAVIENTO,BOLÍVAR,10.33209031,-75.11699226,0,,0,,1,Magdalena Cauca,0,,0,
13780,TALAIGUA NUEVO,BOLÍVAR,9.269516705,-74.58695233,0,,0,,1,Magdalena Cauca,1,Omec,0,
13810,TIQUISIO,BOLÍVAR,8.492345176,-74.29676139,0,,0,,1,Magdalena Cauca,1,Zonificacion_Ley2da,1,Río Magdalena
