CodigoEstacion,NombreEstacion,Departamento,Municipio,Latitud,Longitud,frecuencia_extremos,pendiente,p_valor,tendencia,frecuencia_reciente,ratio_reciente,frecuencia_anio_corrido,frecuencia_ultimos_6m,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,alerta_lluvias,sequia_categoria,cod_norm
11117040,MUTATA  - AUT,ANTIOQUIA,MUTATÁ,7.229444444,-76.43805556,0.06818181818181818,,,,,,,,,,sin_datos,BAJA,MODERADA,11117040
11117050,DABEIBA 2,ANTIOQUIA,DABEIBA,7.010278056,-76.288333333,0.056818181818181816,0.00031125719674160294,0.8794966638304533,estable,0.05674931276177988,0.9987879046073259,0.08290155440414508,0.053691275167785234,1.4590673575129536,0.9449664429530201,NORMAL,BAJA,NORMAL,11117050
11117050,DABEIBA 2  - AUT,ANTIOQUIA,DABEIBA,7.004388889,-76.26638889,0.05087440381558029,0.00031125719674160294,0.8794966638304533,estable,0.05674931276177988,1.1154786789737356,0.08290155440414508,0.053691275167785234,1.6295336787564767,1.0553691275167785,NORMAL,MODERADA,NORMAL,11117050
11120040,PR CHOCO: RIOSUCIO,CHOCÓ,RIOSUCIO,7.439,-77.115,0.06224066390041494,,,,,,,,,,sin_datos,BAJA,MODERADA,11120040
11135030,UNGUIA,CHOCO,UNGUÍA,8.036722222,-77.08786111,0.0759493670886076,-0.009138518931145657,0.7626761424796893,estable,0.1593923549568711,2.098666006932136,0.27906976744186046,0.125,3.6744186046511627,1.6458333333333333,EXCESO,MODERADA,NORMAL,11135030
11135030,UNGUIA - AUT,CHOCO,UNGUÍA,8.036722222,-77.08786111,0.04927782497875956,-0.009138518931145657,0.7626761424796893,estable,0.1593923549568711,3.234565548004091,0.27906976744186046,0.125,5.663191659983961,2.5366379310344827,EXCESO,MODERADA,NORMAL,11135030
11159010,CAPURGANA - TX GPRS,CHOCÓ,ACANDÍ,8.616,-77.331,0.05005107252298264,,,,,,,,,,sin_datos,BAJA,NORMAL,11159010
11175000,ATRATO,CHOCO,ATRATO,5.58835,-76.64351,0.2537313432835821,0.00570997629821159,0.6747537835203342,estable,0.132987382987383,0.52412674471498,0.2524752475247525,0.03205128205128205,0.995049504950495,0.12631975867269984,DEFICIT,ALTA,LEVE,11175000
11175000,ATRATO,CHOCO,CÉRTEGUI,5.585776,-76.649978,0.0,0.00570997629821159,0.6747537835203342,estable,0.132987382987383,,0.2524752475247525,0.03205128205128205,,,sin_datos,BAJA,LEVE,11175000
11175000,ATRATO,CHOCÓ,CÉRTEGUI,5.585776,-76.649978,0.0,0.00570997629821159,0.6747537835203342,estable,0.132987382987383,,0.2524752475247525,0.03205128205128205,,,sin_datos,BAJA,LEVE,11175000
11175000,PR CHOCO: ATRATO,CHOCÓ,EL ATRATO,5.529,-76.634,0.06375227686703097,0.00570997629821159,0.6747537835203342,estable,0.132987382987383,2.08600209314495,0.2524752475247525,0.03205128205128205,3.96025459688826,0.5027472527472526,DEFICIT,MODERADA,LEVE,11175000
12015060,TULENAPA,ANTIOQUIA,CAREPA,7.77,-76.67,0.10526315789473684,-0.00904287631560359,0.7014459679512264,estable,0.18860139860139863,1.791713286713287,0.16129032258064516,0.16129032258064516,1.532258064516129,1.532258064516129,EXCESO,CRÍTICA,NORMAL,12015060
12015060,TULENAPA  - AUT,ANTIOQUIA,CAREPA,7.773944444,-76.66575,0.05,-0.00904287631560359,0.7014459679512264,estable,0.18860139860139863,3.7720279720279724,0.16129032258064516,0.16129032258064516,3.225806451612903,3.225806451612903,EXCESO,MODERADA,NORMAL,12015060
12015100,PISTA INDIRA,ANTIOQUIA,TURBO,7.94075,-76.69616667,0.10606060606060606,-0.007845840795149554,0.8751472396661419,estable,0.20280932585080053,1.9122022151646907,0.36046511627906974,0.175,3.3986710963455145,1.65,EXCESO,CRÍTICA,NORMAL,12015100
12015100,PISTA INDIRA - AUT,ANTIOQUIA,TURBO,7.94075,-76.69616667,0.049573729081149355,-0.007845840795149554,0.8751472396661419,estable,0.20280932585080053,4.091064553945766,0.36046511627906974,0.175,7.271293141756776,3.5300955414012734,EXCESO,MODERADA,NORMAL,12015100
12015110,CHIGORODO - AUT,ANTIOQUIA,CHIGORODÓ,7.671138889,-76.69405556,0.05147704007019596,,,,,,,,,,sin_datos,BAJA,NORMAL,12015110
12017020,BARRANQUILLITA,ANTIOQUIA,CHIGORODÓ,7.57,-76.71,0.07352941176470588,0.02832603264630915,0.6822556380642515,estable,0.22007477929136915,2.9930169983626205,0.43023255813953487,0.35,5.851162790697674,4.76,EXCESO,MODERADA,NORMAL,12017020
12017020,BARRANQUILLITA  - AUT,ANTIOQUIA,CHIGORODÓ,7.571583333,-76.71055556,0.04642857142857143,0.02832603264630915,0.6822556380642515,estable,0.22007477929136915,4.740072169352566,0.43023255813953487,0.35,9.266547406082289,7.538461538461537,EXCESO,MODERADA,NORMAL,12017020
12025040,TURBO,ANTIOQUIA,TURBO,8.091805556,-76.71633333,0.07692307692307693,-0.018298771121351764,0.010503091989253236,decreciente,0.03540706605222734,0.4602918586789554,0.0,0.0,0.0,0.0,DEFICIT,BAJA,NORMAL,12025040
12027010,PUEBLO BELLO  - AUT,ANTIOQUIA,TURBO,8.204055556,-76.52466667,0.06188925081433225,,,,,,,,,,sin_datos,BAJA,NORMAL,12027010
12045020,CRISTO REY,CORDOBA,PUERTO ESCONDIDO,9.071111111,-76.22444444,0.09195402298850575,0.0065229571831406106,0.24993020230411728,estable,0.100144370353099,1.0890700275899516,0.14646464646464646,0.18831168831168832,1.5928030303030303,2.0478896103896105,EXCESO,MODERADA,NORMAL,12045020
12045020,CRISTO REY  - AUT,CORDOBA,PUERTO ESCONDIDO,9.071111111,-76.22444444,0.0,0.0065229571831406106,0.24993020230411728,estable,0.100144370353099,,0.14646464646464646,0.18831168831168832,,,sin_datos,BAJA,NORMAL,12045020
13015040,REPRESA URRA,CORDOBA,TIERRALTA,8.014166667,-76.20305556,0.06872852233676977,-0.001307730411538319,0.8156727418328888,estable,0.09731140126301416,1.4158808883768559,0.13861386138613863,0.07051282051282051,2.016831683168317,1.0259615384615384,NORMAL,MODERADA,MODERADA,13015040
13027040,CANO BARRO,CORDOBA,AYAPEL,8.236777,-74.962588,0.04,-0.004411881744564457,0.4273832421111543,estable,0.1318687999458589,3.2967199986464726,0.13861386138613863,0.07051282051282051,3.4653465346534658,1.7628205128205128,EXCESO,MODERADA,MODERADA,13027040
13027040,CANO BRAVO,CORDOBA,AYAPEL,8.235847222,-74.96043889,0.12442396313364056,-0.004411881744564457,0.4273832421111543,estable,0.1318687999458589,1.0598344291944957,0.13861386138613863,0.07051282051282051,1.114044737807114,0.5667141500474834,DEFICIT,ALTA,MODERADA,13027040
13027040,CANO BRAVO,CORDOBA,AYAPEL,8.236777,-74.962588,0.11475409836065574,-0.004411881744564457,0.4273832421111543,estable,0.1318687999458589,1.1491423995281989,0.13861386138613863,0.07051282051282051,1.207920792079208,0.6144688644688644,DEFICIT,CRÍTICA,MODERADA,13027040
13027040,CANO BRAVO,CÓRDOBA,AYAPEL,8.23584722,-74.96043889,0.06451612903225806,-0.004411881744564457,0.4273832421111543,estable,0.1318687999458589,2.043966399160813,0.13861386138613863,0.07051282051282051,2.1485148514851486,1.092948717948718,NORMAL,MODERADA,MODERADA,13027040
13027040,CAÑO BARRO - LA MOJANA,CÓRDOBA,AYAPEL,8.236,-74.96,0.017587939698492462,-0.004411881744564457,0.4273832421111543,estable,0.1318687999458589,7.497683196921692,0.13861386138613863,0.07051282051282051,7.881188118811882,4.009157509157509,EXCESO,MODERADA,MODERADA,13027040
13035501,AEROPUERTO LOS GARZONES,CORDOBA,MONTERÍA,8.825833333,-75.82513889,0.14859437751004015,0.0024290413444304246,0.5590170340640179,estable,0.18236828753374915,1.2272892863757714,0.24752475247524752,0.17307692307692307,1.665774685576666,1.1647609147609148,EXCESO,CRÍTICA,NORMAL,13035501
13035501,AEROPUERTO LOS GARZONES,CÓRDOBA,MONTERÍA,8.82583333,-75.82513889,0.11811023622047244,0.0024290413444304246,0.5590170340640179,estable,0.18236828753374915,1.544051501119076,0.24752475247524752,0.17307692307692307,2.0957095709570956,1.4653846153846153,EXCESO,CRÍTICA,NORMAL,13035501
13035501,APTO LOS GARZONES,CÓRDOBA,MONTERÍA,8.826,-75.825,0.01906090190609019,0.0024290413444304246,0.5590170340640179,estable,0.18236828753374915,9.567663085002303,0.24752475247524752,0.17307692307692307,12.985993721323352,9.080206378986867,EXCESO,MODERADA,NORMAL,13035501
13037040,CARRIZOLA - En Siniestro,CÓRDOBA,TIERRALTA,8.161,-76.096,0.06093189964157706,,,,,,,,,,sin_datos,BAJA,MODERADA,13037040
13055040,INCODER - AUT,CORDOBA,MONTERÍA,8.746944444,-75.91388889,0.04831288343558282,,,,,,,,,,sin_datos,BAJA,MODERADA,13055040
13057010,NUEVA COLOMBIA,CÓRDOBA,MONTERÍA,8.499,-75.979,0.05029138786963091,,,,,,,,,,sin_datos,BAJA,NORMAL,13057010
13067020,MONTERIA,CORDOBA,MONTERÍA,8.751611111,-75.89241667,0.06983240223463687,0.006641869908549699,0.3303651025159811,estable,0.09560108869725634,1.3690075901447107,0.20408163265306123,0.5,2.922448979591837,7.16,EXCESO,MODERADA,MODERADA,13067020
13067020,MONTERIA  - AUT,CORDOBA,MONTERÍA,8.751611111,-75.89241667,0.049358341559723594,0.006641869908549699,0.3303651025159811,estable,0.09560108869725634,1.9368780570064135,0.20408163265306123,0.5,4.134693877551021,10.129999999999999,EXCESO,MODERADA,MODERADA,13067020
13075010,CHIMA,CORDOBA,CHIMA,9.15075,-75.62208333,0.0625,0.003683941250761527,0.31059309302460547,estable,0.0862771528977366,1.3804344463637856,0.15346534653465346,0.10256410256410256,2.4554455445544554,1.641025641025641,EXCESO,MODERADA,MODERADA,13075010
13077060,COTOCA ABAJO,CORDOBA,LORICA,9.223685,-75.836095,0.07058823529411765,-0.0036561742190259106,0.21629870270897755,estable,0.088191764289575,1.2493833274356458,0.043478260869565216,0.039735099337748346,0.6159420289855072,0.5629139072847682,DEFICIT,MODERADA,NORMAL,13077060
13077060,COTOCA ABAJO,CORDOBA,LORICA,9.224444444,-75.83444444,0.16260162601626016,-0.0036561742190259106,0.21629870270897755,estable,0.088191764289575,0.5423793503808862,0.043478260869565216,0.039735099337748346,0.2673913043478261,0.24437086092715232,DEFICIT,ALTA,NORMAL,13077060
13077060,COTOCA ABAJO  - AUT,CORDOBA,LORICA,9.224444444,-75.83444444,0.029577464788732393,-0.0036561742190259106,0.21629870270897755,estable,0.088191764289575,2.9817215545522977,0.043478260869565216,0.039735099337748346,1.4699792960662525,1.3434247871333964,EXCESO,MODERADA,NORMAL,13077060
