CodigoEstacion,COD_MPIO,NombreEstacion,Departamento,Municipio,Latitud,Longitud,fecha_corte,precip_acumulada_anual_mm
26085160,76001.0,SILOE,VALLE DEL CAUCA,CALI,3.4255,-76.56061111,2026-09-16,870.3000000000001
26085170,76001.0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,3.454414,-76.499948,2026-09-16,71.7
26105240,76111.0,EL PLACER,VALLE DEL CAUCA,BUGA,3.879111111,-76.100555556,2026-09-16,296.6
26105250,76147.0,ZARAGOZA,VALLE DEL CAUCA,CARTAGO,4.689777778,-75.92519444,2026-09-16,897.9
26115090,76054.0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,4.775583333,-76.144277778,2026-07-03,453.40000000000003
26125061,63401.0,AEROPUERTO EL EDEN -,QUINDÍO,ARMENIA,4.45472222,-75.76638889,2026-09-16,3296.319
26125300,63130.0,CALARCA,QUINDÍO,CALARCÁ,4.528305556,-75.59638889,2026-09-16,1162.3
26125710,66001.0,AEROPUERTO MATECANA,RISARALDA,PEREIRA,4.812675,-75.739519444,2026-09-16,5771.2
26127010,63401.0,EL ALAMBRADO,QUINDÍO,LA TEBAIDA,4.41025,-75.875388889,2026-09-16,2521.6
26127040,76147.0,CARTAGO,RISARALDA,PEREIRA,4.757611111,-75.89925,2026-09-16,0.0
26135300,66682.0,PNN QUIMBAYA,RISARALDA,PEREIRA,4.728583056,-75.578222222,2026-09-16,1125.4
26135320,17873.0,NEVADO SANTA ISABEL,CALDAS,VILLAMARIA,4.802611111,-75.380472222,2026-04-03,654.4
26135330,66682.0,LA LAGUNA DEL OTUN,RISARALDA,PEREIRA,4.776361111,-75.4125,2026-04-03,819.5
26137220,63272.0,EL RETEN,RISARALDA,PEREIRA,4.728194444,-75.603444444,2026-09-16,1407.1
26145090,66088.0,SANTA EMILIA,RISARALDA,BELÉN DE UMBRÍA,5.207472222,-75.90294444,2026-04-02,1139.3
26147140,17088.0,PUENTE NEGRO,CALDAS,BELALCAZAR,4.987944444,-75.85891667,2026-09-16,1787.0
26155110,17001.0,AEROPUERTO LA NUBIA,CALDAS,MANIZALES,5.029777778,-75.469916667,2026-09-16,395.0
26155150,17873.0,LAS BRISAS,CALDAS,VILLAMARIA,4.934527778,-75.35038889,2026-09-16,663.0
26155170,17001.0,TESORITO FINCA,CALDAS,MANIZALES,5.032222222,-75.43833333,2026-09-16,1347.3
26155240,17873.0,PNN NEVADOS,CALDAS,VILLAMARIA,4.859444444,-75.38241667,2026-04-03,336.5
26155250,17873.0,PARAMO CONEJERAS,CALDAS,VILLAMARIA,4.829805556,-75.37583333,2026-04-02,1111.3
26155260,17873.0,SENDERO LAGUNA VERDE,CALDAS,VILLAMARIA,4.840666667,-75.36161111,2026-04-02,865.8000000000001
26155270,17873.0,SAN ANTONIO CALDAS,CALDAS,VILLAMARIA,4.886611111,-75.428972222,2026-04-03,1128.0
26157190,17873.0,RIO CLARO,CALDAS,VILLAMARIA,4.900916667,-75.45111111,2026-03-25,186.4
26167070,66594.0,IRRA,CALDAS,NEIRA,5.268305556,-75.66419444,2026-03-11,411.2
26175040,5390.0,HACIENDA TUNEZ,ANTIOQUIA,FREDONIA,5.80025,-75.65097222,2026-09-16,1296.9
26177030,66400.0,LA VIRGINIA,RISARALDA,LA VIRGINIA,4.8925,-75.882694444,2026-09-16,5425.771
26180180,5483.0,SONSON,ANTIOQUIA,SONSÓN,5.71525,-75.2945,2026-09-16,1243.0
26180250,17653.0,VALLE ALTO,CALDAS,SALAMINA,5.35,-75.31777778,2026-09-16,241.4
26185020,5400.0,MESOPOTAMIA,ANTIOQUIA,LA UNIÓN,5.88636111,-75.31863889,2026-09-16,4214.200000000001
26185050,5679.0,SANTA BARBARA,ANTIOQUIA,SANTA BÁRBARA,5.859583333,-75.55627778,2026-09-16,923.6
26187040,5390.0,QUITASUENO  - AUT,CALDAS,AGUADAS,5.721138889,-75.55258333,2026-09-16,124.2
26207030,5282.0,PUENTE IGLESIAS,ANTIOQUIA,FREDONIA,5.829944444,-75.7055,2026-09-16,958.2
26207080,5861.0,BOLOMBOLO,ANTIOQUIA,VENECIA,5.97,-75.84,2026-09-16,5057.0
26217010,5042.0,LA GALERA,ANTIOQUIA,SANTA FE DE ANTIOQUIA,6.554972222,-75.86419444,2026-09-16,589.0
26225060,5042.0,HACIENDA COTOVE,ANTIOQUIA,SANTA FE DE ANTIOQUIA,6.533916667,-75.82733333,2026-09-16,590.2
26237040,5854.0,PTO VALDIVIA,ANTIOQUIA,VALDIVIA,7.287,-75.396,2026-09-16,1743.6999999999998
