COD_DPTO,NOM_DPTO,cod_divipola,NOM_MPIO,LATITUD,LONGITUD,amenaza_mm_val,amenaza_mm
8,ATLÁNTICO,8296,GALAPA,10.89771991,-74.88708788,10,MUY_BAJA
8,ATLÁNTICO,8372,JUAN DE ACOSTA,10.82306503,-75.07841904,14,BAJA
8,ATLÁNTICO,8421,LURUACO,10.63503116,-75.15402741,14,BAJA
8,ATLÁNTICO,8433,MALAMBO,10.84828864,-74.80617555,10,MUY_BAJA
8,ATLÁNTICO,8436,MANATÍ,10.45414555,-74.98477367,10,MUY_BAJA
8,ATLÁNTICO,8520,PALMAR DE VARELA,10.69481208,-74.7701509,3,MUY_BAJA
8,ATLÁNTICO,8549,PIOJÓ,10.74078959,-75.14366034,10,MUY_BAJA
8,ATLÁNTICO,8558,POLONUEVO,10.76740141,-74.85414844,10,MUY_BAJA
8,ATLÁNTICO,8560,PONEDERA,10.59465102,-74.79847316,3,MUY_BAJA
8,ATLÁNTICO,8573,PUERTO COLOMBIA,11.0044226,-74.9074058,3,MUY_BAJA
8,ATLÁNTICO,8606,REPELÓN,10.50757051,-75.12188053,9,MUY_BAJA
8,ATLÁNTICO,8634,SABANAGRANDE,10.79894015,-74.7687966,10,MUY_BAJA
8,ATLÁNTICO,8638,SABANALARGA,10.62250777,-74.95510542,10,MUY_BAJA
8,ATLÁNTICO,8675,SANTA LUCÍA,10.35364192,-74.96541179,8,MUY_BAJA
8,ATLÁNTICO,8685,SANTO TOMÁS,10.75562656,-74.78726468,10,MUY_BAJA
8,ATLÁNTICO,8758,SOLEDAD,10.9069066,-74.7784249,8,MUY_BAJA
8,ATLÁNTICO,8770,SUAN,10.31085035,-74.90713308,3,MUY_BAJA
8,ATLÁNTICO,8832,TUBARÁ,10.90721938,-74.98423293,10,MUY_BAJA
8,ATLÁNTICO,8849,USIACURÍ,10.74052266,-74.98267413,14,BAJA
11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4.316107698,-74.1810727,42,ALTA
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,10.46343362,-75.45889915,10,MUY_BAJA
13,BOLÍVAR,13006,ACHÍ,8.622943262,-74.47805945,8,MUY_BAJA
13,BOLÍVAR,13030,ALTOS DEL ROSARIO,8.757468863,-74.19515811,25,MEDIA
13,BOLÍVAR,13042,ARENAL,8.362996158,-74.10301905,25,MEDIA
13,BOLÍVAR,13052,ARJONA,10.16422123,-75.37121788,10,MUY_BAJA
13,BOLÍVAR,13062,ARROYOHONDO,10.24171805,-75.02690422,11,BAJA
13,BOLÍVAR,13074,BARRANCO DE LOBA,8.837077654,-74.27966531,10,MUY_BAJA
13,BOLÍVAR,13140,CALAMAR,10.15517098,-74.99995949,11,BAJA
13,BOLÍVAR,13160,CANTAGALLO,7.239229146,-74.10014043,25,MEDIA
13,BOLÍVAR,13188,CICUCO,9.235268598,-74.68840962,10,MUY_BAJA
