COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,alerta_lluvias,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,ratio_volumen_3m,condicion_lluvia_3m,sequia_categoria,freq_sequia_hist,freq_sequia_rec_3m,racha_activa_dias,tendencia_sequia,n_estaciones,distancia_km_estacion_asignada,sequia_nivel,municipio_afectado
5,ANTIOQUIA,5150,CAROLINA,0.08139534883720931,0.07154914179708234,1.6131079241524018,creciente,MODERADA,,,sin_datos,,sin_datos,MODERADA,0.10465116279069768,0.0,0.0,estable,2,16.273117451356637,2,1
5,ANTIOQUIA,5154,CAUCASIA,0.06830601092896176,0.06023430239121049,0.8818301870073215,estable,BAJA,0.5498591549295774,0.7507692307692306,DEFICIT,0.6920258321158897,DEFICIT,NORMAL,0.072992700729927,0.0625,0.0,estable,1,15.108810245052865,0,1
5,ANTIOQUIA,5172,CHIGORODÓ,0.05147704007019596,,,sin_datos,BAJA,,,sin_datos,,sin_datos,ALTA,0.09225092250922509,0.0,53.0,sin_datos,1,7.430576013271295,3,1
5,ANTIOQUIA,5190,CISNEROS,0.05271317829457364,,,sin_datos,BAJA,,,sin_datos,,sin_datos,ALTA,0.10317460317460317,0.0,17.0,sin_datos,1,4.946624975445898,3,0
5,ANTIOQUIA,5197,COCORNÁ,0.05474452554744526,,,sin_datos,BAJA,,,sin_datos,,sin_datos,NORMAL,0.08300395256916997,0.0,3.0,sin_datos,1,6.889309305427445,0,1
5,ANTIOQUIA,5206,CONCEPCIÓN,0.06876790830945559,0.1067592518001844,1.552457453261015,estable,ALTA,1.8785885167464116,0.956688596491228,NORMAL,1.2189491822088052,EXCESO,MODERADA,0.08571428571428572,0.15384615384615385,0.0,estable,1,8.122313730889399,2,1
5,ANTIOQUIA,5209,CONCORDIA,0.0,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.06880733944954129,0.0,5.0,sin_datos,1,2.890763275625615,2,1
5,ANTIOQUIA,5212,COPACABANA,0.07078853046594982,0.0,0.0,estable,BAJA,0.0,0.0,DEFICIT,0.0,DEFICIT,ALTA,0.1095890410958904,0.0,595.0,sin_datos,2,6.1887723803185954,3,0
5,ANTIOQUIA,5234,DABEIBA,0.056818181818181816,0.05674931276177988,0.9987879046073259,estable,BAJA,1.380392156862745,0.6947368421052631,DEFICIT,0.5922708079372251,DEFICIT,MODERADA,0.08870967741935484,0.21428571428571427,0.0,estable,1,3.493552416082048,2,1
5,ANTIOQUIA,5237,DONMATÍAS,0.07078853046594982,0.0,0.0,estable,BAJA,0.0,0.0,DEFICIT,0.0,DEFICIT,ALTA,0.1095890410958904,0.0,595.0,sin_datos,2,23.02556713270259,3,1
5,ANTIOQUIA,5240,EBÉJICO,0.06876790830945559,0.08039505709282171,1.169078121891449,decreciente,MODERADA,0.7545204402515724,0.37526881720430105,DEFICIT,0.6784431491526266,DEFICIT,MODERADA,0.08823529411764706,0.2,0.0,estable,1,18.249333125905114,2,1
5,ANTIOQUIA,5250,EL BAGRE,0.06845238095238096,0.06055178299943014,0.8845825690351533,estable,BAJA,0.6382439848037146,0.7539971949509116,DEFICIT,0.6709386577710428,DEFICIT,NORMAL,0.0847457627118644,0.0,0.0,estable,1,20.06584355147635,0,1
5,ANTIOQUIA,5264,ENTRERRÍOS,0.07452725250278086,0.0,0.0,estable,BAJA,0.0,0.0,DEFICIT,0.0,DEFICIT,ALTA,0.10714285714285714,0.0,562.0,sin_datos,2,10.303467061854464,3,1
