COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,precip_acum_mm,precip_max_10min,n_estaciones,alerta_compuesta,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,sequia_categoria,alerta,fecha,municipio_afectado
13006,ACHÍ,BOLÍVAR,8.622943262,-74.47805945,0.7000000000000001,0.1,1,BAJA,0.0691823899371069,0.0503802425173392,0.7282235054779044,estable,MODERADA,0,2026-09-17,1
13052,ARJONA,BOLÍVAR,10.16422123,-75.37121788,0.0,0.0,2,MODERADA,0.0775193798449612,0.0970255482089008,1.9752937078755468,estable,MODERADA,1,2026-09-17,1
13188,CICUCO,BOLÍVAR,9.235268598,-74.68840962,,,2,MODERADA,0.0761421319796954,0.0289170506912442,1.2651209677419355,estable,ALTA,1,2026-09-17,1
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,9.699819876,-75.15793573,0.0,0.0,6,ALTA,0.0984251968503937,0.1117823363493155,2.7945584087328883,estable,SEVERA,2,2026-09-17,1
13248,EL GUAMO,BOLÍVAR,10.03483672,-74.92811072,0.0,0.0,3,CRÍTICA,0.12,0.0974410552751566,5.359258040133617,creciente,MODERADA,3,2026-09-17,1
13300,HATILLO DE LOBA,BOLÍVAR,8.981717133,-74.09071902,0.0,0.0,3,MODERADA,0.0665658093797276,0.0397744352190264,1.2727819270088458,estable,ALTA,1,2026-09-17,1
13430,MAGANGUÉ,BOLÍVAR,9.053135895,-74.70539318,0.0,0.0,4,MODERADA,0.0814814814814814,0.0642745881450512,2.0567868206416398,decreciente,MODERADA,1,2026-09-17,1
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,8.212463202,-74.75082,0.0,0.0,2,BAJA,0.06,0.0508770479641285,0.9044808526956186,estable,MODERADA,0,2026-09-17,1
13688,SANTA ROSA DEL SUR,BOLÍVAR,7.772519173,-74.26272843,,,1,BAJA,0.0545112781954887,0.0,,sin_datos,ALTA,0,2026-09-17,0
13744,SIMITÍ,BOLÍVAR,7.851315534,-73.98371609,,,2,MODERADA,0.0684931506849315,0.1094362745098039,2.4075980392156864,estable,ALTA,1,2026-09-17,1
13838,TURBANÁ,BOLÍVAR,10.25276929,-75.43270299,,,1,BAJA,0.034249879401833,0.0,,sin_datos,ALTA,0,2026-09-17,1
13894,ZAMBRANO,BOLÍVAR,9.745147021,-74.88067037,,,4,ALTA,0.0775862068965517,0.1145779992276008,6.301789957518045,estable,MODERADA,2,2026-09-17,1
15001,TUNJA,BOYACÁ,5.518472615,-73.37801856,0.0,0.0,1,BAJA,0.0655270655270655,0.0642770053678992,0.9809229949622889,estable,NORMAL,0,2026-09-17,0
15047,AQUITANIA,BOYACÁ,5.437416373,-72.87149471,1.6666666666666667,0.7,6,ALTA,0.0727272727272727,0.0796424633704976,1.9184105487336325,estable,NORMAL,2,2026-09-17,1
15051,ARCABUCO,BOYACÁ,5.73526424,-73.42793109,,,2,CRÍTICA,0.1457142857142857,0.1566889575803897,6.236220511699511,decreciente,MODERADA,3,2026-09-17,0
15104,BOYACÁ,BOYACÁ,5.439856216,-73.38136994,2.8000000000000003,0.4,3,BAJA,0.0681818181818181,0.063597927493966,0.9567340396918368,sin_datos,MODERADA,0,2026-09-17,0
15106,BRICEÑO,BOYACÁ,5.673229265,-73.92660705,,,2,BAJA,0.052760736196319,0.0,,sin_datos,MODERADA,0,2026-09-17,1
15109,BUENAVISTA,BOYACÁ,5.489399419,-73.95066255,0.0,0.0,1,ALTA,0.0687679083094555,0.1052035464653139,1.529834904849773,estable,ALTA,2,2026-09-17,0
15162,CERINZA,BOYACÁ,5.962013698,-72.96447288,,,2,CRÍTICA,0.1386666666666666,0.1375403582820036,3.145719181479816,estable,NORMAL,3,2026-09-17,0
15172,CHINAVITA,BOYACÁ,5.202971639,-73.34048074,,,2,CRÍTICA,0.1050847457627118,0.1106016056822508,2.5763668147159606,estable,NORMAL,3,2026-09-17,1
15176,CHIQUINQUIRÁ,BOYACÁ,5.622488024,-73.80424531,,,1,BAJA,0.0529172320217096,0.0,,sin_datos,NORMAL,0,2026-09-17,0
15183,CHITA,BOYACÁ,6.091468485,-72.43903174,0.0,0.0,2,CRÍTICA,0.1243243243243243,0.1863971306926492,25.909201166278248,estable,MODERADA,3,2026-09-17,1
15215,CORRALES,BOYACÁ,5.82454582,-72.84544845,,,1,BAJA,0.0662824207492795,0.0725314174593567,1.094278341669425,estable,MODERADA,0,2026-09-17,0
15223,CUBARÁ,BOYACÁ,6.886954878,-72.18156285,,,1,BAJA,0.0494699646643109,0.0,,sin_datos,MODERADA,0,2026-09-17,1
15226,CUÍTIVA,BOYACÁ,5.58775449,-72.93953686,0.5714285714285714,0.3,15,ALTA,0.1282051282051282,0.1063439138355203,6.850786870246152,estable,NORMAL,2,2026-09-17,1
15238,DUITAMA,BOYACÁ,5.890602515,-73.06709484,0.0,0.0,3,ALTA,0.2222222222222222,0.1017006802721088,1.7784580498866216,estable,MODERADA,2,2026-09-17,0
15244,EL COCUY,BOYACÁ,6.353363177,-72.41923752,2.7,0.8,2,MODERADA,0.0735390676296782,0.0238646812957157,2.55693013882669,estable,LEVE,1,2026-09-17,1
15248,EL ESPINO,BOYACÁ,6.508240556,-72.48049625,0.03333333333333333,0.1,8,CRÍTICA,0.2127659574468085,0.2218909878000787,4.535189640943382,creciente,NORMAL,3,2026-09-17,1
15272,FIRAVITOBA,BOYACÁ,5.67367659,-73.01983352,0.0,0.0,3,MODERADA,0.08203125,0.0444894067090025,1.5076965606939756,decreciente,MODERADA,1,2026-09-17,0
15317,GUACAMAYAS,BOYACÁ,6.445438546,-72.51635332,0.0,0.0,2,MODERADA,0.0557768924302788,0.089164665562181,1.658877498831276,decreciente,MODERADA,1,2026-09-17,1
15322,GUATEQUE,BOYACÁ,5.01450831,-73.48812352,0.0,0.0,2,BAJA,0.0502717391304347,0.0,0.0,estable,ALTA,0,2026-09-17,1
15368,JERICÓ,BOYACÁ,6.155633662,-72.58523093,,,1,MODERADA,0.0685714285714285,0.0954442430987568,1.3918952118568706,estable,MODERADA,1,2026-09-17,1
15377,LABRANZAGRANDE,BOYACÁ,5.541378132,-72.5903846,2.2,0.7,7,ALTA,0.1088435374149659,0.1149145392398129,3.72565032482762,estable,LEVE,2,2026-09-17,1
15380,LA CAPILLA,BOYACÁ,5.113167102,-73.45923708,1.1,0.4,2,BAJA,0.0551626591230551,0.0165895005995117,0.4844134175057423,decreciente,NORMAL,0,2026-09-17,1
15401,LA VICTORIA,BOYACÁ,5.507008121,-74.24162727,,,2,BAJA,0.0558035714285714,0.0213839326742552,0.3929297628894403,decreciente,ALTA,0,2026-09-17,0
15407,VILLA DE LEYVA,BOYACÁ,5.665762424,-73.514948,0.0,0.0,4,MODERADA,0.0739130434782608,0.0931668968083697,1.9466977912064636,decreciente,ALTA,1,2026-09-17,1
15425,MACANAL,BOYACÁ,4.980176495,-73.29413695,7.5,3.4,3,ALTA,0.0847457627118644,0.1263820334178211,4.865708286586112,estable,NORMAL,2,2026-09-17,1
